cert,year,name,BCC,SB,hhi,boone,csent,nfci,finregunc,leverage
628,2010,"JPMorgan Chase Bank, National Association",1,1,448.26,-0.453,71.8,-0.534353811,197.6960136,3.740032314
3510,2010,"Bank of America, National Association",0.94974571,0.956027878,448.26,-0.453,71.8,-0.534353811,197.6960136,9.424538711
7213,2010,"Citibank, National Association",1,1,448.26,-0.453,71.8,-0.534353811,197.6960136,9.1416122
3511,2010,"Wells Fargo Bank, National Association",1,1,448.26,-0.453,71.8,-0.534353811,197.6960136,8.007373072
6548,2010,U.S. Bank National Association,0.987997941,0.982602199,448.26,-0.453,71.8,-0.534353811,197.6960136,7.634285328
6384,2010,"PNC Bank, National Association",0.701123334,0.710099246,448.26,-0.453,71.8,-0.534353811,197.6960136,9.064897906
57890,2010,"HSBC Bank USA, National Association",0.699147737,0.674713926,448.26,-0.453,71.8,-0.534353811,197.6960136,9.961097904
18409,2010,"TD Bank, National Association",0.503069251,0.497159202,448.26,-0.453,71.8,-0.534353811,197.6960136,13.88909403
9846,2010,Branch Banking and Trust Company,0.540410438,0.561182885,448.26,-0.453,71.8,-0.534353811,197.6960136,-0.423605732
12368,2010,Regions Bank,0.533902169,0.551936695,448.26,-0.453,71.8,-0.534353811,197.6960136,9.509721736
4297,2010,"Capital One, National Association",0.589629307,0.592582475,448.26,-0.453,71.8,-0.534353811,197.6960136,8.109703942
6672,2010,Fifth Third Bank,0.677648043,0.652543123,448.26,-0.453,71.8,-0.534353811,197.6960136,12.57338421
57957,2010,"RBS Citizens, National Association",0.416710961,0.411757541,448.26,-0.453,71.8,-0.534353811,197.6960136,15.59633028
33124,2010,Goldman Sachs Bank USA,1,1,448.26,-0.453,71.8,-0.534353811,197.6960136,20.03457485
17534,2010,KeyBank National Association,0.548847403,0.54297534,448.26,-0.453,71.8,-0.534353811,197.6960136,8.705224829
22826,2010,"Union Bank, National Association",0.431329134,0.432330238,448.26,-0.453,71.8,-0.534353811,197.6960136,9.095513997
29950,2010,Sovereign Bank,0.59271155,0.532858512,448.26,-0.453,71.8,-0.534353811,197.6960136,9.097782873
33954,2010,"Capital One Bank (USA), National Association",0.788312087,0.818599949,448.26,-0.453,71.8,-0.534353811,197.6960136,3.809559911
57803,2010,Ally Bank,0.569062157,0.477338394,448.26,-0.453,71.8,-0.534353811,197.6960136,10.32383334
32992,2010,"Morgan Stanley Bank, National Association",1,1,448.26,-0.453,71.8,-0.534353811,197.6960136,9.214991702
588,2010,Manufacturers and Traders Trust Company,0.631171708,0.663163726,448.26,-0.453,71.8,-0.534353811,197.6960136,11.94181194
5649,2010,Discover Bank,0.874804172,0.822034145,448.26,-0.453,71.8,-0.534353811,197.6960136,8.376886869
3514,2010,Bank of the West,0.356636092,0.323307498,448.26,-0.453,71.8,-0.534353811,197.6960136,9.90357267
983,2010,Comerica Bank,0.541332834,0.605569151,448.26,-0.453,71.8,-0.534353811,197.6960136,20.55331871
6560,2010,The Huntington National Bank,0.473167822,0.527979945,448.26,-0.453,71.8,-0.534353811,197.6960136,9.496383392
16571,2010,Harris National Association,0.375253324,0.403591058,448.26,-0.453,71.8,-0.534353811,197.6960136,7.909106559
623,2010,Deutsche Bank Trust Company Americas,0.941563233,0.601656936,448.26,-0.453,71.8,-0.534353811,197.6960136,25.53313118
32188,2010,USAA Federal Savings Bank,0.688726124,0.623889224,448.26,-0.453,71.8,-0.534353811,197.6960136,8.020044364
16022,2010,New York Community Bank,0.542131292,0.464805621,448.26,-0.453,71.8,-0.534353811,197.6960136,9.117106847
27471,2010,American Express Centurion Bank,1,1,448.26,-0.453,71.8,-0.534353811,197.6960136,6.190376967
873,2010,Synovus Bank,0.199536306,0.122685372,448.26,-0.453,71.8,-0.534353811,197.6960136,14.57738449
34968,2010,Banco Popular de Puerto Rico,0.381059957,0.4471551,448.26,-0.453,71.8,-0.534353811,197.6960136,9.168725563
4977,2010,"First Tennessee Bank, National Association",0.523080485,0.480947737,448.26,-0.453,71.8,-0.534353811,197.6960136,11.04559748
27314,2010,GE Money Bank,0.861025673,0.876080991,448.26,-0.453,71.8,-0.534353811,197.6960136,15.14356283
59017,2010,First Republic Bank,0.362051164,0.218012841,448.26,-0.453,71.8,-0.534353811,197.6960136,9.057525806
5296,2010,"Associated Bank, National Association",0.422971157,0.446737554,448.26,-0.453,71.8,-0.534353811,197.6960136,19.71603655
17281,2010,City National Bank,0.419205827,0.468770483,448.26,-0.453,71.8,-0.534353811,197.6960136,13.12062192
24998,2010,"Commerce Bank, National Association",0.54915955,0.530228132,448.26,-0.453,71.8,-0.534353811,197.6960136,5.934551488
18221,2010,"Webster Bank, National Association",0.321355346,0.341072406,448.26,-0.453,71.8,-0.534353811,197.6960136,5.610764044
