ID,Course,Age,Dept,Treatment,Score,,
826105888,34300,25,PSYC,Instructor Incentives,68,,
158473226,20055,18,ENGL,Instructor Incentives,52,,
831829710,20087,22,COMM,Instructor Incentives,66,,
837926805,44325,20,SOCI,Control,47,,
680763815,45063,18,COMM,Instructor Incentives,96,,
252477075,20081,19,SOCI,Control,0,,
323624471,20019,19,ARTH,Instructor Incentives,0,,
205439099,44032,18,COMM,Control,72,,
469048838,20027,20,COMM,Control,48,,
133898507,44019,20,COMM,Control,54,,
408296889,39591,18,COMM,Instructor Incentives,78,,
699523636,27936,18,MATH,Control,43,,
525390693,35167,20,ENGL,Instructor Incentives,84,,
644949942,44213,19,APHY,Control,42,,
156549435,33554,20,MATH,Control,0,,
967497686,20144,18,ARTH,Control,0,,
657707644,47371,21,ACCT,Instructor Incentives,55,,
923775306,35251,46,NRSG,Instructor Incentives,82,,
916323407,20081,21,SOCI,Control,0,,
836270831,35675,22,CRIM,Instructor Incentives,91,,
124537200,44008,26,SOCI,Control,89,,
801092583,20106,19,PSYC,Instructor Incentives,64,,
714735423,35395,18,MATH,Control,0,,
707161605,34487,20,ENGL,Instructor Incentives,84,,
267318884,33580,20,SOCI,Control,62,,
302714472,20091,19,ENGL,Control,88,,
134604313,35767,20,SDEV,Control,94,,
416689128,42787,20,MATH,Control,83,,
705570580,34690,28,BUSN,Control,67,,
113593498,42037,20,COMM,Instructor Incentives,66,,
288825618,44062,31,ENGL,Control,88,, 
246936061,34993,19,MATH,Control,87,,
708540421,20081,19,SOCI,Control,71,,
154482188,35172,19,ENGL,Instructor Incentives,0,,
713387020,35510,20,ACCT,Control,50,,
146867338,34526,17,ENGL,Instructor Incentives,0,,
391261350,35767,23,SDEV,Control,80,,
204293084,20098,28,MATH,Instructor Incentives,80,,
559491040,42030,18,COMM,Instructor Incentives,0,,
189453374,35081,22,HLHS,Control,87,,
728781428,34725,19,ENGL,Control,80,,
530984073,36068,53,ENGL,Control,76,,
195558727,20053,20,ENGL,Instructor Incentives,84,,
859924660,47184,19,BUSN,Control,41,,
451204119,34690,22,BUSN,Control,63,,
432182444,46710,19,SOCI,Control,71,,
662131710,34509,19,ENGL,Instructor Incentives,0,,
754697509,35160,21,ENGL,Instructor Incentives,100,,
914821079,35492,19,APHY,Instructor Incentives,53,,
806125414,34648,29,SCIN,Instructor Incentives,59,,
154905692,20091,19,ENGL,Control,84,,
649671748,32577,61,BOAT,Instructor Incentives,0,,
382005252,34506,21,ENGL,Control,100,,
174414519,20085,19,COMM,Control,48,,
530049129,53410,25,ENGL,Control,0,,
482061393,34518,20,BUSN,Control,64,,
924629478,35109,30,HLHS,Control,96,,
638188509,44262,20,MATH,Instructor Incentives,87,,
338819136,42876,35,MATH,Instructor Incentives,0,,
401069136,36669,19,COMM,Control,50,,
544557333,34663,20,COMM,Control,70,,
866286453,20055,21,ENGL,Instructor Incentives,52,,
895547480,20112,21,SOCI,Control,80,,
530723819,36678,19,COMM,Control,38,,
770485876,44070,20,ENGL,Control,76,,
961677201,34518,21,BUSN,Control,63,,
444668044,33907,19,PSYC,Control,80,,
328244055,45688,18,HLHS,Instructor Incentives,52,,
877844044,34993,38,MATH,Control,73,,
336448672,20066,20,MATH,Control,67,,
796165139,47203,20,BUSN,Instructor Incentives,88,,
218295922,45688,20,HLHS,Instructor Incentives,97,,
315715013,34666,21,COMM,Control,68,,
319023509,44198,21,APHY,Control,86,,
558035802,20104,19,PSYC,Instructor Incentives,78,,
982381621,34526,18,ENGL,Instructor Incentives,56,,
321477338,35991,22,BUSN,Instructor Incentives,0,,
355717808,20085,20,COMM,Control,48,,
235603815,42031,19,COMM,Control,0,,
638577758,20103,19,PSYC,Instructor Incentives,84,,
770602711,45085,21,ENGL,Control,0,,
742709627,35897,20,ENGL,Control,0,,
257387807,35675,22,CRIM,Instructor Incentives,74,,
925099272,39089,28,SOCI,Control,73,,
660952262,44091,19,MATH,Control,93,,
207438693,47371,24,ACCT,Instructor Incentives,31,,
188301105,44325,21,SOCI,Control,69,,
956997376,34630,28,APHY,Control,73,,
522051305,34523,18,ENGL,Instructor Incentives,72,,
558518141,35897,20,ENGL,Control,0,,
658873212,34300,26,PSYC,Instructor Incentives,58,,
468012021,45176,31,ACCT,Control,0,,
233784099,36067,17,ENGL,Control,68,,
772579178,44070,21,ENGL,Control,80,,
482897531,20119,18,BIOL,Control,0,,
994788050,20081,20,SOCI,Control,76,,
988723705,33905,49,PSYC,Control,72,,
733697834,39089,33,SOCI,Control,93,,
291313583,44002,18,PSYC,Instructor Incentives,72,,
899439552,35094,20,COMM,Instructor Incentives,56,,
564836857,40037,21,APHY,Instructor Incentives,76,,
673751454,34591,34,APHY,Instructor Incentives,61,,
864833646,35991,18,BUSN,Instructor Incentives,0,,
628319059,34301,18,PSYC,Control,0,,
223382606,34076,21,ACCT,Instructor Incentives,0,,
762203581,45085,22,ENGL,Control,0,,
985294598,44323,54,PSYC,Instructor Incentives,0,,
385659123,47371,21,ACCT,Instructor Incentives,60,,
902180592,35489,19,APHY,Instructor Incentives,56,,
873387984,44325,22,SOCI,Control,0,,
751982375,34582,19,HLHS,Instructor Incentives,0,,
522452723,42876,40,MATH,Instructor Incentives,70,,
641978705,33206,47,BUSN,Instructor Incentives,45,,
319517515,34668,19,COMM,Instructor Incentives,58,,
245662346,34993,18,MATH,Control,0,,
593683603,20104,33,PSYC,Instructor Incentives,78,,
729164376,39686,47,MATH,Control,50,,
705937709,33907,25,PSYC,Control,86,,
340514156,20087,20,COMM,Instructor Incentives,56,,
264224285,45268,23,BUSN,Instructor Incentives,58,,
642038609,46457,18,ACCT,Instructor Incentives,0,,
