Neighbourhood,Latitude,Longitude,Room_Type,Accommodates,Bathrooms,Bedrooms,Beds,Price,Minimum_Nights,Maximum_Nights,Number_of_Reviews,Review_Score_Rating,South_Beach,North_Beach,Central_City,North_Valley,East_of_805,Beach,No_Beach,House_Apartment,Private_Room,Shared_Room
Pacific Beach,32.80724,-117.2563,Entire home/apt,8,2,2,3,225,4,365,62,98,0,1,0,0,0,1,0,1,0,0
Roseville,32.74202,-117.2187,Private room,1,1,1,1,74,1,21,143,86,1,0,0,0,0,1,0,0,1,0
La Jolla,32.81301,-117.26856,Entire home/apt,3,1,2,3,80,4,1125,248,99,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.80734,-117.24243,Entire home/apt,2,1,1,1,73,1,30,629,96,0,1,0,0,0,1,0,1,0,0
College Area,32.76365,-117.07675,Entire home/apt,2,1,1,0,60,30,730,3,100,0,0,0,0,1,0,1,1,0,0
La Jolla,32.81321,-117.26853,Private room,1,1,1,1,89,3,365,218,98,0,1,0,0,0,1,0,0,1,0
Midtown,32.74779,-117.1648,Entire home/apt,2,1,1,1,128,1,365,66,99,0,0,1,0,0,0,1,1,0,0
Pacific Beach,32.79783,-117.25416,Entire home/apt,7,2.5,3,5,257,6,365,149,95,0,1,0,0,0,1,0,1,0,0
Pacific Beach,32.79757,-117.2474,Entire home/apt,2,1,1,1,178,3,90,19,89,0,1,0,0,0,1,0,1,0,0
Rancho Penasquitos,32.99091,-117.16673,Entire home/apt,6,2.5,3,5,525,7,28,9,100,0,0,0,0,1,0,1,1,0,0
Pacific Beach,32.80572,-117.25936,Entire home/apt,8,2,3,6,277,2,90,158,94,0,1,0,0,0,1,0,1,0,0
Grant Hill,32.70803,-117.14341,Entire home/apt,2,1,1,1,79,14,365,19,100,0,0,1,0,0,0,1,1,0,0
Bay Park,32.80157,-117.20093,Private room,1,1,1,1,56,3,60,200,99,0,0,0,1,0,0,1,0,1,0
East Lake,32.6567,-116.9713,Private room,2,1.5,1,0,75,2,1125,54,98,0,0,0,0,1,0,1,0,1,0
Bay Park,32.80041,-117.20152,Private room,1,1,1,1,60,3,60,70,98,0,0,0,1,0,0,1,0,1,0
Bird Land,32.78175,-117.16045,Private room,2,1,1,2,57,5,365,62,97,0,0,0,1,0,0,1,0,1,0
Mira Mesa,32.91123,-117.13099,Private room,1,1,1,1,55,2,120,53,98,0,0,0,0,1,0,1,0,1,0
Carmel Valley,32.94663,-117.23244,Entire home/apt,6,2,3,3,157,30,1125,48,89,0,1,0,0,0,1,0,1,0,0
Roseville,32.74129,-117.21853,Private room,1,3,1,1,85,2,5,53,88,1,0,0,0,0,1,0,0,1,0
Mission Bay,32.78333,-117.25262,Entire home/apt,2,1,1,1,201,14,179,449,96,0,1,0,0,0,1,0,1,0,0
Talmadge,32.76493,-117.08815,Private room,2,1,1,1,77,1,8,98,98,0,0,0,0,1,0,1,0,1,0
Midtown,32.74316,-117.16748,Entire home/apt,2,1,2,2,149,30,90,244,99,0,0,1,0,0,0,1,1,0,0
Loma Portal,32.74098,-117.24471,Entire home/apt,4,1.5,1,1,174,2,1125,389,99,1,0,0,0,0,1,0,1,0,0
La Jolla,32.81015,-117.26804,Private room,2,1,1,1,112,13,185,33,100,0,1,0,0,0,1,0,0,1,0
Mission Bay,32.78248,-117.25169,Entire home/apt,2,1,1,1,196,14,179,171,97,0,1,0,0,0,1,0,1,0,0
La Jolla,32.84006,-117.26922,Entire home/apt,14,4,5,9,451,3,90,151,98,0,1,0,0,0,1,0,1,0,0
University City,32.85359,-117.2135,Entire home/apt,10,3,5,7,525,7,20,24,97,0,1,0,0,0,1,0,1,0,0
Mission Bay,32.76735,-117.24928,Entire home/apt,4,1,2,3,170,3,29,164,97,0,1,0,0,0,1,0,1,0,0
Torrey Pines,32.9259,-117.24959,Entire home/apt,12,3.5,4,5,770,7,365,40,98,0,1,0,0,0,1,0,1,0,0
