"PlantID"	"PlantName"	"Year"	"PhaseI"	"Energy"	"SO2"	"NOX"	"Capital"	"Labor"	"CoalHeat"	"OilHeat"	"GasHeat"	"NetCons"	"GrossCons"	"PolYr"
"   3"	"                 Barry"	"85"	"0"	"23.3014740"	" 130.355808"	" 70.9840548"	"343.56905"	"430"	" 66.6378696"	"0.0484437176"	"8.164239e-01"	" 44.2012632"	" 67.5027372"	"0"
"   8"	"                Gorgas"	"85"	"0"	"19.3212055"	" 203.142822"	" 63.2537808"	"323.83119"	"511"	" 56.9919221"	"0.1462426928"	"0.000000e+00"	" 37.8169594"	" 57.1381648"	"0"
" 470"	"              Comanche"	"85"	"0"	" 9.6246438"	"  37.218301"	" 44.3494795"	"167.27911"	"114"	" 28.9663075"	"0.0452512077"	"8.541248e-03"	" 19.3954561"	" 29.0200999"	"0"
" 602"	"        Brandon Shores"	"85"	"0"	" 7.1220466"	"  38.028329"	" 21.5857808"	"221.30421"	"120"	" 20.8220463"	"0.2267838628"	"0.000000e+00"	" 13.9267836"	" 21.0488301"	"0"
" 641"	"                 Crist"	"85"	"1"	"12.1228493"	" 273.070082"	" 53.4544658"	"256.24698"	"221"	" 36.2187846"	"0.0591395397"	"3.800446e-01"	" 24.5351195"	" 36.6579688"	"0"
" 708"	"               Hammond"	"85"	"1"	"13.3403479"	" 170.140274"	" 61.8633973"	"180.22405"	"309"	" 41.1135075"	"0.0553151648"	"0.000000e+00"	" 27.8284747"	" 41.1688227"	"0"
" 709"	"        Harllee Branch"	"85"	"0"	"30.8035425"	" 266.093151"	"124.1009041"	"297.70760"	"469"	" 82.8058103"	"0.0403144422"	"0.000000e+00"	" 52.0425823"	" 82.8461247"	"0"
" 728"	"                 Yates"	"85"	"1"	"18.3480301"	" 346.423616"	" 60.2880000"	"286.07393"	"454"	" 54.0101656"	"0.0707846601"	"0.000000e+00"	" 35.7329201"	" 54.0809502"	"0"
" 856"	"          E.D. Edwards"	"85"	"0"	" 8.1924658"	"  53.238521"	" 34.2950137"	"185.34307"	"151"	" 23.8882831"	"0.0272823991"	"0.000000e+00"	" 15.7230997"	" 23.9155655"	"0"
" 861"	"               Coffeen"	"85"	"1"	"10.4545342"	" 375.504384"	" 88.7657260"	"220.43425"	"302"	" 33.0255023"	"0.0377094021"	"0.000000e+00"	" 22.6086774"	" 33.0632117"	"0"
" 862"	"           Grand Tower"	"85"	"1"	" 1.2648773"	"  31.599808"	"  6.6801644"	" 87.67256"	"104"	"  4.1236763"	"0.0162456511"	"0.000000e+00"	"  2.8750447"	"  4.1399220"	"0"
" 863"	"           Hutonsville"	"85"	"0"	" 2.3059482"	"  55.487836"	" 12.0955342"	" 66.86219"	" 93"	"  7.1029324"	"0.0152071310"	"0.000000e+00"	"  4.8121914"	"  7.1181396"	"0"
" 864"	"             Meredosia"	"85"	"1"	" 3.7304285"	"  87.121945"	" 13.1970685"	"132.14295"	"147"	" 11.3138881"	"0.1033730388"	"0.000000e+00"	"  7.6868327"	" 11.4172612"	"0"
" 876"	"               Kincaid"	"85"	"1"	"13.4690849"	" 464.493315"	"122.2416712"	"265.68214"	"341"	" 44.6724293"	"0.0000000000"	"6.830783e-02"	" 31.2716522"	" 44.7407371"	"0"
" 879"	"              Powerton"	"85"	"0"	"16.8674849"	"  97.082877"	" 84.4634247"	"562.19305"	"431"	" 55.0000964"	"0.0000000000"	"7.114294e-02"	" 38.2037544"	" 55.0712393"	"0"
" 887"	"           Joppa Steam"	"85"	"1"	"17.1238658"	" 289.329425"	" 57.6233151"	"364.53364"	"359"	" 52.3579470"	"0.0231967594"	"0.000000e+00"	" 35.2572780"	" 52.3811437"	"0"
" 889"	"               Baldwin"	"85"	"1"	"29.3500460"	" 725.330986"	"183.3218356"	"346.39593"	"264"	" 85.6472723"	"0.0788482230"	"0.000000e+00"	" 56.3760745"	" 85.7261205"	"0"
" 983"	"          Clifty Creek"	"85"	"1"	"26.7849726"	" 712.602219"	"181.7184932"	"342.07700"	"392"	" 76.9682507"	"0.0110077245"	"0.000000e+00"	" 50.1942858"	" 76.9792584"	"0"
" 988"	"         Tanners Creek"	"85"	"1"	" 9.5705288"	" 177.191753"	" 57.9438356"	"328.85341"	"328"	" 28.0551478"	"0.1757691670"	"0.000000e+00"	" 18.6603882"	" 28.2309170"	"0"
" 991"	"        H.T. Pritchard"	"85"	"1"	" 1.9165890"	"  41.613233"	"  7.2881096"	"111.40206"	" 96"	"  6.4634393"	"0.0997069168"	"0.000000e+00"	"  4.6465571"	"  6.5631462"	"0"
" 994"	"           Petersburgh"	"85"	"1"	"18.3923425"	" 229.153370"	" 56.7236164"	"353.85760"	"280"	" 55.6525880"	"0.1133653985"	"0.000000e+00"	" 37.3736109"	" 55.7659534"	"0"
"1004"	"           Edwardsport"	"85"	"0"	" 0.6618082"	"  21.051644"	"  4.3347397"	" 65.37639"	" 71"	"  2.4993488"	"0.0235634104"	"0.000000e+00"	"  1.8611040"	"  2.5229122"	"0"
"1008"	"          R. Gallagher"	"85"	"1"	" 6.1077753"	" 166.881507"	" 30.1081096"	"143.67121"	"161"	" 18.5910164"	"0.0748484800"	"0.000000e+00"	" 12.5580895"	" 18.6658649"	"0"
"1012"	"           F.B. Culley"	"85"	"1"	" 5.8170414"	" 166.630082"	" 31.5608493"	" 99.93919"	" 87"	" 17.8921695"	"0.0046641186"	"1.278839e-02"	" 12.0925806"	" 17.9096220"	"0"
"1047"	"               Lansing"	"85"	"0"	" 3.0778687"	"  16.369452"	" 21.7485479"	" 94.29816"	" 52"	"  9.9478392"	"0.0391880390"	"0.000000e+00"	"  6.9091585"	"  9.9870273"	"0"
"1250"	"              Lawrence"	"85"	"0"	" 3.7978795"	"  11.608274"	" 15.8404110"	"114.42145"	"137"	" 13.2705439"	"0.0000000000"	"3.662067e-01"	"  9.8388712"	" 13.6367506"	"0"
"1355"	"            E.W. Brown"	"85"	"1"	" 8.6747315"	" 148.238247"	" 30.9098356"	"128.42561"	"132"	" 27.4277008"	"0.0448079141"	"0.000000e+00"	" 18.7977772"	" 27.4725087"	"0"
"1356"	"                 Ghent"	"85"	"1"	"17.7902384"	" 250.794932"	" 64.7006301"	"392.60966"	"228"	" 55.9492846"	"0.2207723265"	"0.000000e+00"	" 38.3798185"	" 56.1700569"	"0"
"1357"	"           Green River"	"85"	"1"	" 2.8510959"	"  57.738247"	" 15.9271233"	" 72.31985"	"103"	"  9.8570155"	"0.0093349821"	"0.000000e+00"	"  7.0152546"	"  9.8663505"	"0"
"1364"	"            Mill Creek"	"85"	"0"	"16.9621534"	" 130.929753"	" 68.9537534"	"333.42230"	"472"	" 50.7382967"	"0.1477814001"	"1.363781e-01"	" 34.0603028"	" 51.0224562"	"0"
"1570"	"            R.P. Smith"	"85"	"0"	" 1.1156027"	"   8.956082"	"  4.0120000"	" 58.72443"	" 65"	"  3.6029236"	"0.0280555333"	"0.000000e+00"	"  2.5153764"	"  3.6309791"	"0"
"1606"	"             Mount Tom"	"85"	"0"	" 2.8421151"	"  26.804575"	" 11.4767397"	" 37.96768"	" 69"	"  8.4835070"	"0.0120632250"	"0.000000e+00"	"  5.6534552"	"  8.4955703"	"0"
"1695"	"             B.C. Cobb"	"85"	"0"	" 3.2584767"	"  22.682521"	" 10.8117808"	"150.55052"	"196"	"  9.9950216"	"0.0398456696"	"0.000000e+00"	"  6.7763906"	" 10.0348673"	"0"
"1745"	"       Trenton Channel"	"85"	"0"	" 9.8463945"	"  59.913973"	" 29.7809315"	"357.94851"	"327"	" 29.7539225"	"0.2312180838"	"0.000000e+00"	" 20.1387461"	" 29.9851406"	"0"
"1943"	"             Hoot Lake"	"85"	"0"	" 0.9899405"	"  11.638849"	"  5.1841918"	" 43.90201"	" 38"	"  3.5591932"	"0.0042189533"	"0.000000e+00"	"  2.5734716"	"  3.5634121"	"0"
"2080"	"              Montrose"	"85"	"1"	" 5.5627435"	" 241.636027"	" 23.1507945"	"104.06858"	"157"	" 17.5492380"	"0.0467572323"	"0.000000e+00"	" 12.0332518"	" 17.5959952"	"0"
"2103"	"               Labadie"	"85"	"1"	"33.9407781"	" 718.440082"	"113.6979178"	"535.38181"	"504"	" 99.7891407"	"0.2749064543"	"0.000000e+00"	" 66.1232690"	"100.0640471"	"0"
"2107"	"                 Sioux"	"85"	"1"	" 6.3539726"	" 150.523534"	" 53.5938082"	"201.27722"	"275"	" 19.9835793"	"0.0545192632"	"0.000000e+00"	" 13.6841260"	" 20.0380986"	"0"
"2526"	"                Goudey"	"85"	"0"	" 2.3648266"	"  40.870000"	"  9.5562466"	" 79.75870"	" 79"	"  7.8366844"	"0.0266289807"	"0.000000e+00"	"  5.4984868"	"  7.8633134"	"0"
"2527"	"             Greenidge"	"85"	"1"	" 3.1063399"	"  54.655288"	" 12.8321918"	" 78.95936"	" 97"	" 10.0737767"	"0.0454439609"	"0.000000e+00"	"  7.0128808"	" 10.1192206"	"0"
"2535"	"              Milliken"	"85"	"1"	" 4.7476414"	"  66.305945"	" 14.4161918"	" 88.82722"	" 85"	" 13.1647288"	"0.0130714301"	"0.000000e+00"	"  8.4301589"	" 13.1778003"	"0"
"2549"	"          C.R. Huntley"	"85"	"0"	"11.1606137"	" 133.916164"	" 52.4561644"	"354.42514"	"304"	" 34.6751353"	"0.0000000000"	"0.000000e+00"	" 23.5145216"	" 34.6751353"	"0"
"2554"	"               Dunkirk"	"85"	"1"	" 9.1360411"	" 139.758274"	" 28.0109589"	"200.61634"	"210"	" 27.6061845"	"0.0000000000"	"0.000000e+00"	" 18.4701434"	" 27.6061845"	"0"
"2642"	"             Rochester"	"85"	"0"	" 3.9138795"	"  66.210630"	" 11.7336438"	" 89.55476"	"134"	" 11.8988180"	"0.0372320095"	"0.000000e+00"	"  8.0221706"	" 11.9360500"	"0"
"2706"	"             Asheville"	"85"	"0"	" 5.8140493"	"  38.030466"	" 23.4774795"	" 72.27974"	"105"	" 16.5632096"	"0.0334304999"	"0.000000e+00"	" 10.7825908"	" 16.5966401"	"0"
"2718"	"            G.G. Allen"	"85"	"1"	" 6.2408548"	"  41.215123"	" 18.1642466"	"192.16731"	"152"	" 17.6490549"	"0.1322401185"	"0.000000e+00"	" 11.5404402"	" 17.7812950"	"0"
"2721"	"             Cliffside"	"85"	"0"	" 5.7530767"	"  39.636904"	" 16.5001370"	"155.09654"	"146"	" 16.4012831"	"0.0699507069"	"0.000000e+00"	" 10.7181571"	" 16.4712338"	"0"
"2727"	"              Marshall"	"85"	"0"	"25.1194384"	" 160.771288"	" 68.1642740"	"294.46493"	"189"	" 66.4517898"	"0.1829545536"	"0.000000e+00"	" 41.5153060"	" 66.6347444"	"0"
"2790"	"          R.M. Heskett"	"85"	"0"	" 1.2306381"	"  14.253288"	"  3.3949863"	" 34.32905"	" 57"	"  4.7479797"	"0.0000000000"	"0.000000e+00"	"  3.5173417"	"  4.7479797"	"0"
"2850"	"           J.M. Stuart"	"85"	"0"	"40.6489671"	" 458.891041"	"189.8600274"	"472.28048"	"537"	"116.4291220"	"0.0704546880"	"0.000000e+00"	" 75.8506096"	"116.4995767"	"0"
"2864"	"          R. E. Burger"	"85"	"1"	" 7.1811044"	" 194.758740"	" 36.7962192"	"204.92650"	"289"	" 23.3009523"	"0.0167372249"	"0.000000e+00"	" 16.1365852"	" 23.3176895"	"0"
"2872"	"       Muskingum River"	"85"	"1"	"19.9965644"	" 679.609616"	"116.6569315"	"364.69439"	"382"	" 55.8747932"	"0.2105250793"	"0.000000e+00"	" 36.0887539"	" 56.0853183"	"0"
