"","under_pressure"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",-9.58183960065086
"9",-8.33166510178709
"10",-9.02989802627366
"11",-9.52860938527004
"12",-8.79100401748025
"13",-8.45010820328285
"14",-9.82342502616498
"15",-10.8124458649996
"16",-10.5005074246008
"17",-10.4530037309059
"18",-10.3961562411258
"19",-11.2148779312131
"20",-10.0165964799905
"21",-10.2962127885704
"22",-10.2711896490863
"23",-9.51889244046881
"24",-11.094494144252
"25",-10.8489762294356
"26",-11.3992452860331
"27",-10.1233214777214
"28",-11.0936909267648
"29",-10.442531514003
"30",-10.1496308773173
"31",-10.6834259595044
"32",-10.1634808906985
"33",-11.4737534660409
"34",-9.57188493623152
"35",-10.4617868508435
"36",-11.0502011439993
"37",-10.3855261585216
"38",-11.7843079835781
"39",-9.55212661058344
"40",-10.7124370618039
"41",-11.4078533613607
"42",-10.032508484671
"43",-10.2878225499025
"44",-10.3755317055713
"45",-9.51117878928591
"46",-10.5050398718459
"47",-12.1854627516687
"48",-10.4483648686063
"49",-10.8702271798395
"50",-10.2026674899894
"51",-10.894054017506
"52",-11.1205860359751
"53",-10.6461527902837
"54",-11.196624958957
"55",-8.73079641398063
"56",-10.7788417898985
"57",-9.74598303148659
"58",-11.0266190775754
"59",-9.9019336869944
"60",-10.7230260110981
"61",-11.3117188977177
"62",-10.354367066622
"63",-9.59463137525025
"64",-8.58568112579579
"65",-9.29906625897962
"66",-9.4849535624066
"67",-9.60284759298313
"68",-11.4168905708819
"69",-12.3228010036648
"70",-11.3292415058157
"71",-10.3309102515021
"72",-10.3592389728497
"73",-10.9938532752193
"74",-11.1574833042878
"75",-10.5348318853691
"76",-9.40930411805555
"77",-9.85401646695586
"78",-9.18942805278391
"79",-7.53204447910077
"80",0.975642292507747
"81",1.49347390220501
"82",-6.20076355375512
"83",-7.39142001431975
"84",-8.94036359900644
"85",-9.79372699490748
"86",-9.16889248286674
"87",-12.6050075470611
"88",-13.3354265043899
"89",-12.2600364305568
"90",-11.9983708581457
"91",-13.8533586274417
"92",-12.405894067286
"93",-12.8720210427974
"94",-13.6293272437524
"95",-13.5011292174249
"96",-14.8808839809885
"97",-13.3614513826278
"98",-14.022140641082
