fighter_name,Height_ft_in,Weight_lbs,Reach_lbs,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,Opp_Str,TD_Avg,TD_Acc,TD_Def,Opp_TD,Sub_Avg
Rong Zhu,"5' 9""",135,71,Orthodox,7-Mar-00,0,0.00,0,0.00,1.00,0,0.00,0.00,1.00,0
Cory McKenna,"5' 3""",115,58,Orthodox,7-Nov-99,3.47,0.44,3.03,0.45,0.55,0.5,0.50,0.71,0.29,0
Chase Hooper,"6' 1""",145,74,Southpaw,13-Sep-99,4.43,0.45,3.95,0.38,0.62,0.32,0.07,0.66,0.34,2.2
Kay Hansen,"5' 2""",115,63,Orthodox,14-Aug-99,3.57,0.59,3.03,0.54,0.46,2.19,0.25,1.00,0.00,1.6
Luis Rodriguez,"5' 6""",125,65,Orthodox,7-May-99,1.27,0.37,3.2,0.54,0.46,2,0.50,1.00,0.00,2
Chelsea Hackett,"5' 4""",125,66,Switch,16-Aug-98,2.58,0.51,4.85,0.46,0.54,0,0.00,0.57,0.43,0
Maycee Barber,"5' 5""",125,65,Switch,18-May-98,5.21,0.52,3,0.50,0.50,1.44,0.40,0.80,0.20,0.2
Nick Maximov,"6' 0""",220,76,Southpaw,23-Dec-97,2.47,0.58,0.33,0.58,0.42,2,0.40,0.00,1.00,0
Song Yadong,"5' 8""",145,67,Orthodox,2-Dec-97,4.35,0.42,3.64,0.57,0.43,0.59,0.75,0.56,0.44,0.4
Edmen Shahbazyan,"6' 2""",185,74,Orthodox,20-Nov-97,3.85,0.51,4.31,0.49,0.51,4.44,0.40,0.58,0.42,0.5
TJ Laramie,"5' 6""",145,66,Orthodox,15-Oct-97,2.73,0.51,3.24,0.26,0.74,2.56,0.50,0.00,1.00,0
Casey O'Neill,"5' 6""",125,69,,7-Oct-97,5.64,0.72,1.84,0.42,0.58,6.91,0.66,0.00,1.00,1.7
Dennis Buzukja,"5' 9""",145,71,Switch,1-Oct-97,3.8,0.46,6.8,0.35,0.65,2,0.25,1.00,0.00,1
Chan-Mi Jeon,"5' 5""",115,,Orthodox,28-Aug-97,6.23,0.31,7.77,0.55,0.45,0,0.00,0.00,1.00,0
Ignacio Bahamondes,"6' 3""",170,75,Orthodox,27-Aug-97,8.78,0.54,2.66,0.67,0.33,0,0.00,1.00,0.00,0
Canaan Kawaihae,"6' 0""",145,,Southpaw,26-Aug-97,2.33,0.72,5.4,0.34,0.66,0,0.00,1.00,0.00,0
Jeff Molina,"5' 6""",125,69,Orthodox,17-Jul-97,5.07,0.38,5.53,0.55,0.45,0,0.00,0.00,1.00,0
Miranda Maverick,"5' 3""",125,65,Southpaw,1-Jul-97,9.8,0.51,6,0.62,0.38,0,0.00,0.00,1.00,0
Naoki Inoue,"5' 9""",125,71,Orthodox,14-Jun-97,3.67,0.35,3.37,0.60,0.40,0,0.00,0.60,0.40,2.5
Mariya Agapova,"5' 6""",125,68,Southpaw,7-Apr-97,3.7,0.50,4.15,0.47,0.53,1.23,0.66,0.33,0.67,0.6
Sabina Mazo,"5' 7""",135,70,Orthodox,25-Mar-97,6.56,0.44,3.91,0.60,0.40,0.81,0.80,0.66,0.34,0.2
Fares Ziam,"6' 1""",155,75,Orthodox,21-Mar-97,1.9,0.47,1.37,0.66,0.34,0.5,0.11,0.65,0.35,0
