"","ice_ice_baby"
"1",-10.9923502570759
"2",-11.066199408677
"3",-11.0192838308929
"4",-9.69100853255415
"5",-10.6984354346845
"6",-10.0180086611145
"7",-9.66374765673925
"8",-8.03729892534242
"9",-7.65037698752765
"10",-8.36692993317012
"11",-9.45623460555229
"12",-6.693136628966
"13",-6.85687940263394
"14",-6.82788715019169
"15",-6.86399720797636
"16",-6.92612519346465
"17",-7.05635596978774
"18",-6.25493358762804
"19",-8.22794771788852
"20",-8.9765398308805
"21",-7.19558744446253
"22",-9.1478192421922
"23",-9.70256268093107
"24",-9.07502729983583
"25",-9.93124300727312
"26",-9.05909205689517
"27",-10.2933119155342
"28",-11.4543085462489
"29",-10.0761622629754
"30",-10.3431133748416
"31",-9.3969631742958
"32",-9.26634425737223
"33",-9.64641795190901
"34",-8.39323855464494
"35",-7.65143726574417
"36",-8.18451977600969
"37",-8.3414102367752
"38",-8.1396838794695
"39",-9.77171671882947
"40",-8.02534834579944
"41",-6.10328011684576
"42",-7.41006705119253
"43",-6.56534855220296
"44",-7.11620482892025
"45",-8.50671213173367
"46",-8.17312362094439
"47",-9.4155855127827
"48",-9.1108588321155
"49",-10.8611675528622
"50",-11.0011426856181
"51",-11.1259679532123
"52",-9.96053268939371
"53",-12.0131877397441
"54",-9.97551549155777
"55",-9.86395131972204
"56",-10.1632510994387
"57",-9.57143801998835
"58",-7.102607944493
"59",-8.29403097513764
"60",-8.16691752889914
"61",-6.99136709209612
"62",-7.85500513303861
"63",-7.62609707488038
"64",-5.02745445238513
"65",-6.7581744981612
"66",-7.27130828839902
"67",-7.65871820472011
"68",-7.92352569787312
"69",-7.52015342184178
"70",-8.447638695231
"71",-8.17852569335328
"72",-7.77330147015141
"73",-9.93133081623997
"74",-11.7148970140419
"75",-10.0990098904586
"76",-9.94843478486896
"77",-11.2899929440701
"78",-10.3119523857363
"79",-10.4578311093216
"80",-9.17545905074765
"81",-9.4007071509468
"82",-9.43767959090707
"83",-10.4378408031831
"84",-7.48194702093587
"85",-7.94865311956279
"86",-7.6901912791242
"87",-8.2500488556631
"88",-8.89029551932363
"89",-7.53828291604912
"90",-8.62233692656778
"91",-7.49555891275211
"92",-7.4841744337168
"93",-7.08775722800504
"94",-7.28007018265939
"95",-6.98260249039276
"96",-6.82615463462075
"97",-8.07889336065183
"98",-9.25596733741116
"99",-10.9676819561631
"100",-11.1730288867277
"101",-8.20271572773667
"102",-10.5289506638537
"103",-9.53792082641975
"104",-9.06016689452758
"105",-9.98417789553858
"106",-8.36899494182138
"107",-8.0197989276995
"108",-7.77192277240623
"109",-9.29279443501068
"110",-8.37194899419637
"111",-8.48662515636078
"112",-8.55703864601464
"113",-8.16342731402449
"114",-6.53923426188256
"115",-6.22242009401744
"116",-7.61235016470744
"117",-6.82686355523463
"118",-6.26931880761735
"119",-7.71579552985319
"120",-5.76121343948322
"121",-6.45458159861796
"122",-7.57672302107794
"123",-9.13640190988055
"124",-8.68169741867742
"125",-10.151175530833
"126",-10.4261852723146
"127",-10.2488957741934
"128",-11.5276134959698
"129",-10.2312472041806
"130",-10.3531451449462
"131",-10.7794807845562
"132",-9.60579309305025
"133",-9.30266892754315
"134",-10.1544734905393
"135",-8.40952026235533
"136",-7.93429950111995
"137",-6.771159301505
"138",-6.33873084889496
"139",-6.81367779727692
"140",-7.50352292003177
